bundle_type,usage_type,service_class_category,price,volume_mb,volume_min,volume_sms,validity_hours,validity_days,week_number,year_number,week_sin,week_cos,season,has_data,has_voice,has_sms,is_data_only,is_voice_only,is_sms_only,is_combo_bundle,is_unlimited_bundle,name_has_social,name_has_roaming,log_price,log_mb,log_min,log_sms,log_validity_hours,validity_bucket,predicted_popularity,popularity_category
BUNDLE_DATA,CHARGED,PREPAID,1936.0,2562.1,0.0,0,168.0,7.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,7.5688956634069955,7.848972742380151,0.0,0.0,5.1298987149230735,weekly,0.4104427423889202,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,564.0,630.98,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.336825731146441,6.448857748076506,0.0,0.0,4.290459441148391,weekly,0.44911292814273734,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,537.0,552.01,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.2878585601617845,6.315376084541477,0.0,0.0,4.290459441148391,weekly,0.4812495909047216,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,599.0,764.94,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.396929655216146,6.641103837690993,0.0,0.0,4.290459441148391,weekly,0.5859385403771383,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,647.0,1521.4,0.0,0,24.0,1.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.473890696352274,7.328043315981939,0.0,0.0,3.2188758248682006,daily,0.5433210532733501,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,725.0,1169.44,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.587550014824796,7.065135025471882,0.0,0.0,4.290459441148391,weekly,0.48559863244075807,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,1160.0,2006.93,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,7.057036981697891,7.6048596196462075,0.0,0.0,4.290459441148391,weekly,0.46625271193804263,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,589.0,1084.64,0.0,0,24.0,1.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.380122536899765,6.989924953825651,0.0,0.0,3.2188758248682006,daily,0.5237985501968201,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,1909.0,2516.82,0.0,0,168.0,7.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,7.554858521040676,7.831148726743298,0.0,0.0,5.1298987149230735,weekly,0.4131240609698296,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,520.0,757.99,0.0,0,24.0,1.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.255750041753367,6.63198860207827,0.0,0.0,3.2188758248682006,daily,0.6360776640202447,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,3503.0,8175.99,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,8.161660452056282,9.00907939121883,0.0,0.0,4.290459441148391,weekly,0.3813561228578688,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,6461.0,8307.55,0.0,0,720.0,30.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,8.773694146384443,9.025040384056602,0.0,0.0,6.580639137284949,monthly,0.3937916272049598,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,217.0,114.82,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,5.384495062789089,4.752037261797644,0.0,0.0,4.290459441148391,weekly,0.4088726807905962,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,785.0,1277.57,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.666956792429207,7.1534975448945275,0.0,0.0,4.290459441148391,weekly,0.4135785851126219,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,531.0,800.92,0.0,0,24.0,1.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.2766434893416445,6.687008852267649,0.0,0.0,3.2188758248682006,daily,0.5196189142013582,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,1114.0,1913.83,0.0,0,72.0,3.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,7.016609683894219,7.557384124828251,0.0,0.0,4.290459441148391,weekly,0.46625271193804263,Very Popular
BUNDLE_DATA,CHARGED,PREPAID,824.0,2022.17,0.0,0,24.0,1.0,1,2025,0.12053668025532305,0.992708874098054,winter,1,0,0,1,0,0,0,0,0,0,6.715383386334681,7.612420867250565,0.0,0.0,3.2188758248682006,daily,0.4582466857519147,Very Popular
